Entity,Year,Agriculture,Real Estate,Accomodation,Transportation,Scientific Activities,Manufacturing and construction,Other
Argentina,2010,116170000,97620000,28400000,45460000,103290000,38760000,19190000
Argentina,2011,116390000,68270000,28500000,47040000,109090000,41630000,19510000
Argentina,2012,118410000,68270000,29960000,46220000,113480000,40490000,19820000
Argentina,2013,121280000,69050000,31120000,49230000,112290000,43600000,20130000
Argentina,2014,122480000,67960000,30060000,45520000,112590000,44550000,20450000
Argentina,2015,121210000,68120000,30370000,47820000,113660000,45760000,20760000
Argentina,2016,126010000,32189998,30800000,46800000,113900000,44180000,21060000
Argentina,2017,132170000,32880002,28700000,48050000,111220000,45200000,21370000
Argentina,2018,130810000,32160000,28280000,49410000,107430000,48110000,21670000
Argentina,2019,132690000,32150002,27110000,49090000,101770000,48860000,21980000
Argentina,2020,134520000,33450000,26690000,38930000,92860000,49630000,22280000
Argentina,2021,131610000,32310002,27980000,48390000,105640000,52630000,22590000
Australia,2008,132539990,30130000,12480000,87710000,294460000,60270000,14870000
Australia,2009,140210000,33110000,13080000,87350000,303970000,57300000,14800000
Australia,2010,115840000,30250000,13210000,90080000,313300000,54000001,15120000
Australia,2011,217900000,0,13650000,92280000,304100000,56780000,14490000
Australia,2012,218240000,0,13900000,92960000,305400000,58700000,12840000
Australia,2013,138360000,0,14180000,94410000,300360000,58160000,12020000
Australia,2014,160510000,0,14670000,94590000,295920000,58610000,12180000
Australia,2015,151830000,0,14920000,94500000,305020000,55960000,11540000
Australia,2016,120210000,4320000,13830000,95860000,311620000,56770000,12120000
Australia,2017,163270000,3660000,14090000,97480000,314880000,55960000,12210000
Australia,2018,160840000,4480000,13940000,99920000,310660000,57170000,12310000
Australia,2019,128320010,22400000,13760000,99670000,315300000,56730000,12400000
Australia,2020,103950000,13460000,14100000,92950000,302010000,55710000,12490000
Australia,2021,121760000,2930000,14130000,90030000,283380000,56720001,12600000
Austria,2008,7760000,0,11130000,23140000,27060000,15650000,2430000
Austria,2009,7370000,0,10280000,22310000,23120000,14320000,2280000
Austria,2010,7480000,0,10550000,23130000,27520000,14780000,2160000
Austria,2011,7670000,0,9260000,22300000,27810000,14820000,2040000
Austria,2012,7380000,0,8890000,22230000,25250000,14700000,1940000
Austria,2013,7410000,0,9140000,23720000,24490000,14320000,1830000
Austria,2014,7470000,0,8050000,23270000,22580000,14050000,1730000
Austria,2015,7550000,0,8520000,23800000,22819999.98,14240000,1650000
Austria,2016,7540000,0,8750000,24620000,22079999.98,14570000,1570000
Austria,2017,7460000,0,8950000,25160000,23549999.98,14340000,1510000
Austria,2018,7330000,0,8109999.5,25420000,21550000,14240000,1460000
Austria,2019,7180000,0,8359999.5,25450000,23030000,14150000,1410000
Austria,2020,7260000,0,8380000,22210000,19100000,13820000,1350000
Austria,2021,7220000,0,9450000,22900000,20460000,14190000,1320000
Azerbaijan,2008,6490000,0,6690000,4900000,26120000,3710000,3070000
Azerbaijan,2009,6600000,0,6010000,4370000,23590000,2680000,3170000
Azerbaijan,2010,6630000,0,6150000,5090000,22040000,2390000,3270000
Azerbaijan,2011,6700000,0,6230000,5950000,23370000,2540000,3380000
Azerbaijan,2012,6830000,0,5270000,6570000,25720000,3200000,3490000
Azerbaijan,2013,6890000,0,5110000,7480000,25920000,3300000,3600000
Azerbaijan,2014,6990000,0,5650000,7750000,25630000,3620000,3710000
Azerbaijan,2015,7400000,0,6030000,6980000,25010000,3590000,3820000
Azerbaijan,2016,7310000,0,6780000,6580000,24460000,3960000,3920000
Azerbaijan,2017,7180000,0,6180000,7920000,23820000,3140000,4010000.2
Azerbaijan,2018,7410000,0,6360000,8720000,24010000,2920000,4110000.2
Azerbaijan,2019,7590000,0,7250000,8630000,25040000,3760000,4210000
Azerbaijan,2020,7880000,0,7990000,7030000,24040000,3750000,4300000
Azerbaijan,2021,7880000,0,8359999.5,7890000,25650000,3740000,4380000
Bahamas,2008,40000,50000,160000,230000,2450000,160000,180000
Bahamas,2009,30000,30000,220000,450000,2570000,210000,190000
Bahamas,2010,20000,20000,310000,550000,2450000,220000,190000
Bahamas,2011,40000,70000,190000,500000,2580000,260000,190000
Bahamas,2012,30000,10000,250000,480000,2930000,260000,200000
Bahamas,2013,40000,80000,250000,470000,2650000,280000,200000
Bahamas,2014,30000,20000,259999.98,490000,2580000,280000,200000
Bahamas,2015,30000,20000,270000,510000,2349999.94,310000,200000
Bahamas,2016,40000,50000,340000,500000,2320000,250000,210000
Bahamas,2017,50000,100000,320000,540000,2470000,530000,210000
Bahamas,2018,30000,10000,290000,560000,2600000,420000,210000
Bahamas,2019,30000,20000,340000,610000,2660000,360000,210000
Bahamas,2020,30000,30000,250000,430000,2590000,360000,220000
Bahamas,2021,30000,20000,259999.98,450000,2850000,430000,220000
Bahrain,2008,40000,0,230000,3170000,26900000,1360000,8560000
Bahrain,2009,40000,0,230000,3130000,26740000,1760000,9060000
Bahrain,2010,50000,0,230000,3210000,27330000,2440000,9560000
Bahrain,2011,50000,0,230000,3030000,27460000,2760000,9910000
Bahrain,2012,50000,0,240000,3250000,27830000,3250000,10260000
Bahrain,2013,50000,0,259999.98,3370000,28810000,4150000,10610000
Bahrain,2014,50000,0,259999.98,3470000,29710000,4860000,10960000
Bahrain,2015,50000,0,280000,3620000,30070000,4849999.9,11310000
Bahrain,2016,40000,0,259999.98,3700000,29810000,5310000,11640000
Bahrain,2017,40000,0,220000,3820000,30150000,5490000,11960000
Bahrain,2018,40000,0,259999.98,3930000,30070000,5890000,12280000
Bahrain,2019,40000,0,250000,3850000,33200000,6040000,12610000
Bahrain,2020,40000,0,250000,3390000,32620000,6250000,12930000
Bahrain,2021,40000,0,240000,3610000,32760000,6620000,13220000
Bangladesh,2008,79290000,18350000,8580000,6280000,26870000,8460000,18010000
Bangladesh,2009,79350000,18400000,8690000,6630000,29250000,9679999.5,18260000
Bangladesh,2010,80690000,18200000,9360000,7660000,32530000,10760000,18510000
Bangladesh,2011,82070000,17760000,9740000,8940000,35560000,11010000,18780000
Bangladesh,2012,81530000,17780000,9720000,9030000,39200000,12160000,19050000
Bangladesh,2013,81800000,18010000,9620000,8570000,42810000,12990000,19310000
Bangladesh,2014,82950000,17900000,10190000,9260000,45240000,12950000,19580000
Bangladesh,2015,83630000,17650000,10940000,9710000,48000000,16350000,19840000
Bangladesh,2016,81760000,17490000,12030000,10300000,53150000,18820000,20110000
Bangladesh,2017,84250000,17490000,12570000,11480000,54980000,22150000,20380000
Bangladesh,2018,84920000,17530000,12710000,12560000,58210000,21440000,20640000
Bangladesh,2019,85170000,17570000,12660000,12210000,59320000,23360000,20910000
Bangladesh,2020,85840000,17810000,11020000,10820000,56800000,23310000,21170000
Bangladesh,2021,88210000,17780000,11050000,12020000,66400000,25920000,21420000
Belgium,2008,9650000,0,27080000,28060000,66990000,25520000,2050000
Belgium,2009,9800000,0,25160000,27260000,56570000,23540000,1970000
Belgium,2010,9840000,0,27620000,26470000,61930000,26380000,1780000
Belgium,2011,9750000,0,22590000,26060000,55620000,24010000,1720000
Belgium,2012,9610000,0,23800000,25280000,51730000,23790000,1650000
Belgium,2013,9500000,0,26040000,24780000,49989999.9,25060000,1490000
Belgium,2014,9670000,0,20610000,25030000,46370000,25290000,1400000
Belgium,2015,9770000,0,23490000,26670000,48930000,24540000,1270000
Belgium,2016,9530000,200000,23220000,26410000,50570000,25300000,1210000
Belgium,2017,9220000,200000,22990000,25820000,53920000,24150000,1160000
Belgium,2018,9300000,200000,22730000,25910000,60420000,24670000,1110000
Belgium,2019,9280000,200000,21970000,25600000,58070000,23780000,1060000
Belgium,2020,9220000,200000,21740000,21360000,48010000,22410000,1010000
Belgium,2021,9150000,200000,23100000,23590000,52030000,23370000,980000
Belize,2008,220000,3280000,50000,310000,180000,140000,170000
Belize,2009,259999.98,3240000,50000,350000,240000,160000,170000
Belize,2010,250000,3290000,50000,330000,260000,180000,180000
Belize,2011,290000,5880000,40000,460000,230000,120000,190000
Belize,2012,280000,5450000,40000,340000,210000,140000,190000
Belize,2013,380000,5590000,20000,370000,189999.99,140000,200000
Belize,2014,340000,5460000,20000,400000,170000,150000,210000
Belize,2015,350000,5500000,70000,530000,160000,170000,220000
Belize,2016,350000,5240000,80000,500000,160000,180000,220000
Belize,2017,340000,5300000,80000,480000,160000,179999.99,230000
Belize,2018,350000,5220000,90000,470000,170000,200000,230000
Belize,2019,370000,5290000,90000,540000,240000,210000,240000
Belize,2020,370000,5390000,80000,450000,230000,230000,250000
Belize,2021,360000,5240000,80000,470000,240000,240000,250000
Benin,2008,4240000,10750000,1660000,2520000,289999.99,610000,190000
Benin,2009,4410000,10760000,1710000,2890000,370000,720000,190000
Benin,2010,4460000,10730000,1660000,3260000,560000,770000,200000
Benin,2011,4620000,10770000,1370000,3370000,230000,860000,200000
Benin,2012,4720000,10740000,1090000,3510000,200000,920000,210000
Benin,2013,4990000,10750000,830000,3950000,219999.99,1060000,220000
Benin,2014,4920000,10720000,770000,4179999.8,369999.99,1360000,220000
Benin,2015,4910000,10740000,690000,4700000,340000,1360000,230000
Benin,2016,5220000,10730000,720000,5960000,330000,1439999.94,230000
Benin,2017,5130000,10750000,720000,6160000,350000,1460000,240000
Benin,2018,5560000,10730000,770000,6930000,330000,1510000,250000
Benin,2019,5950000,10750000,1030000,6070000,410000,1950000,250000
Benin,2020,5900000,10740000,1050000,6340000,630000,2070000,259999.98
Benin,2021,5890000,10720000,860000,4360000,619999.97,2130000,270000
Bhutan,2008,560000,0,30000,200000,0,200000,60000
Bhutan,2009,510000,0,40000,220000,0,160000,70000
Bhutan,2010,500000,0,40000,280000,0,190000,70000
Bhutan,2011,519999.97,0,40000,350000,0,380000,70000
Bhutan,2012,500000,0,40000,400000,10000,409999.99,70000
Bhutan,2013,510000,0,40000,410000,10000,490000,70000
Bhutan,2014,519999.97,0,40000,390000,10000,600000,70000
Bhutan,2015,519999.97,0,40000,410000,10000,620000,70000
Bhutan,2016,540000,0,40000,430000,10000,790000,80000
Bhutan,2017,550000,0,40000,470000,10000,830000,80000
Bhutan,2018,550000,0,20000,540000,10000,930000,80000
Bhutan,2019,540000,0,40000,540000,10000,900000,80000
Bhutan,2020,519999.97,0,30000,380000,0,550000,80000
Bhutan,2021,510000,0,30000,400000,0,690000,80000
Bolivia,2008,23550000,62100000,1260000,5230000,7120000,2700000,2280000
Bolivia,2009,23940000,59120000,1310000,5700000,6990000,2860000,2360000
Bolivia,2010,27310000,80750000,1360000,6250000,7740000,2960000,2450000
Bolivia,2011,25820000,65140000,1420000,6930000,8280000,3280000,2510000
Bolivia,2012,26090000,63760000,1460000,7530000,8789999.99,3450000,2580000
Bolivia,2013,26300000,61420000,1520000,8359999.5,9190000.2,3830000,2650000
Bolivia,2014,25370000,60760000,1610000,9070000,9860000,4030000,2720000
Bolivia,2015,26360000,62900000,1670000,9440000,9860000,4090000,2780000
Bolivia,2016,27440000,71400000,1740000,9940000,10499999.8,4130000,2850000
Bolivia,2017,27200000,69480000,1780000,10610000,10040000.2,4100000,2910000
Bolivia,2018,27200000,69820000,1830000,11030000,9540000,4130000,2970000
Bolivia,2019,28950000,81170000,1870000,11160000,8850000,4280000,3030000
Bolivia,2020,29550000,76460000,1840000,9010000,8020000,3560000,3100000
Bolivia,2021,30100000,77770000,1990000,11510000,8440000,3960000,3160000
Bosnia and Herzegovina,2008,2600000,430000,190000,3450000,16460000,2030000,1250000
Bosnia and Herzegovina,2009,2740000,410000,510000,3570000,15890000,1990000,1360000
Bosnia and Herzegovina,2010,2700000,420000,680000,3480000,15850000,2200000,1190000
Bosnia and Herzegovina,2011,2790000,0,670000,3480000,18660000,2350000,1250000
Bosnia and Herzegovina,2012,2840000,0,600000,3250000,17030000,2340000,1360000
Bosnia and Herzegovina,2013,2750000,0,650000,2880000,16880000,2780000,1280000
Bosnia and Herzegovina,2014,2840000,0,1180000,3040000,13970000,2539999.97,1130000
Bosnia and Herzegovina,2015,2900000,0,1280000,3170000,13820000,2620000,1130000
Bosnia and Herzegovina,2016,2750000,0,1530000,3690000,15850000,2560000,1130000
Bosnia and Herzegovina,2017,2730000,0,1200000,3850000,16170000,2720000,1120000
Bosnia and Herzegovina,2018,2580000,0,1250000,3830000,16060000,2960000,1120000
Bosnia and Herzegovina,2019,2350000,0,1110000,4090000.2,14560000,2830000,1110000
Bosnia and Herzegovina,2020,2490000,0,1150000,3710000,15559999.99,2000000,1110000
Bosnia and Herzegovina,2021,2000000,0,1170000,4260000,14940000,2250000,1110000
Botswana,2008,15640000,41100000,320000,2040000,1170000,1230000,200000
Botswana,2009,5910000,41110000,310000,1840000,1100000,1160000,210000
Botswana,2010,18610000,41110000,320000,1940000,660000,730000,210000
Botswana,2011,23960000,41100000,310000,2040000,1160000,680000,220000
Botswana,2012,9580000,41100000,330000,2120000,570000,780000,220000
Botswana,2013,8050000,41100000,330000,2210000,2420000,870000,230000
Botswana,2014,5140000,41090000,340000,2290000,3850000,920000,230000
Botswana,2015,4630000,41090000,270000,2370000,3910000,830000,240000
Botswana,2016,3710000,41100000,250000,2330000,3720000,770000,240000
Botswana,2017,6930000,41110000,250000,2370000,4390000,810000,250000
Botswana,2018,4690000,41110000,259999.98,2530000,4900000,870000,250000
Botswana,2019,2730000,41140000,250000,2430000,4180000.2,850000,259999.98
Botswana,2020,5730000,41140000,240000,2190000,3010000,780000,259999.98
Botswana,2021,14220000,41140000,250000,2220000,3430000,820000,270000
Brazil,2008,460250000,1109960000,23010000,156300000,135470000,124190000,59010000
Brazil,2009,459670000,1104660100,22630000,153720000,122360000,114060000,60510000
Brazil,2010,490520000,1127260000,22740000,173760000,137940000,131680000,63720000
Brazil,2011,488269980,268230020,22750000,191340000,132940000,141980000,64620004
Brazil,2012,489050000,274350000,22680000,209130000,152900000,140380000,65519996
Brazil,2013,485380000,265570000,22710000,216760000,177320000,140710000,66420000
Brazil,2014,494780000,269330000,22930000,222130000,201140000,138030000,67320000
Brazil,2015,496589980,276140000,22760000,207970000,198620000,132370000,68220000
Brazil,2016,498280000,394860000,22850000,206170000,171780000,120620000,68890000
Brazil,2017,502980000,400360000,23060000,207540000,176870000,124980000,69550000
Brazil,2018,492989980,389160000,23250000,199080000,165200000,122480000,70220000
Brazil,2019,504860000,397900000,23130000,200590000,168410000,119890000,70890000
Brazil,2020,518659970,405309980,23670000,189680000,159690000,116810000,71560000
Brazil,2021,533460030,395060000,23480000,207790000,183820000,128830000,72240000
Brunei,2008,100000,1160000,110000,1160000,7200000,2030000,150000
Brunei,2009,100000,1170000,110000,1150000,7890000,1090000,150000
Brunei,2010,100000,1170000,100000,1210000,7750000,569999.99,150000
Brunei,2011,90000,270000,100000,1320000,7840000,630000,150000
Brunei,2012,110000,250000,100000,1380000,7440000,730000,150000
Brunei,2013,110000,240000,90000,1360000,7399999.97,640000,160000
Brunei,2014,100000,330000,90000,1390000,7260000,590000,160000
Brunei,2015,100000,250000,90000,1400000,6500000.2,700000,160000
Brunei,2016,100000,320000,90000,1380000,6880000,670000,170000
Brunei,2017,100000,240000,90000,1370000,7169999.9,860000,170000
Brunei,2018,100000,240000,120000,1390000,7399999.98,880000,170000
Brunei,2019,100000,259999.98,90000,1360000,7250000,990000,170000
Brunei,2020,110000,340000,90000,1240000,9220000,1020000,180000
Brunei,2021,120000,240000,90000,1190000,9200000,1080000,180000
Bulgaria,2008,4970000,0,1660000,8490000,34639998,9270000,4870000
Bulgaria,2009,5160000,0,1410000,8160000,31620000,5440000,4720000
Bulgaria,2010,4950000,0,1620000,7940000,33230000,5510000,4590000
Bulgaria,2011,5600000,0,1840000,8109999.5,38110000,5460000,4570000
Bulgaria,2012,4800000,0,1810000,8410000,33180000,5280000,4400000
Bulgaria,2013,5060000,0,1550000,7450000,28970000,5340000,4420000
Bulgaria,2014,5220000,0,1270000,8340000,30710000,5550000,4310000
Bulgaria,2015,5320000,0,1410000,9160000,31890000,6180000,4170000
Bulgaria,2016,5540000,0,1500000,9280000,28510000,6490000,4040000
Bulgaria,2017,5500000,0,1550000,9430000,30000000,7100000,3990000
Bulgaria,2018,5400000,0,1360000,9640000,26630000,7440000,3940000
Bulgaria,2019,5450000,0,1320000,9760000,25070000,7030000,3890000
Bulgaria,2020,5570000,0,1360000,9170000,20490000,6690000,3840000
Bulgaria,2021,5620000,0,1610000,9860000,24730000,7180000,3810000
Cambodia,2008,20430000,10140000,830000,2140000,1430000,730000,450000
Cambodia,2009,21080000,10090000,1000000,2780000,1319999.94,739999.97,470000
Cambodia,2010,21170000,8580000,930000,3050000,1040000,1270000,480000
Cambodia,2011,22040000,72430000,890000,3230000,1070000,1400000,490000
Cambodia,2012,21320000,70290000,900000,3410000,1179999.99,1520000,500000
Cambodia,2013,21090000,70830000,930000,3490000,1180000,1550000,510000
Cambodia,2014,20630000,70310000,940000,3820000,2190000,1510000,519999.97
Cambodia,2015,20770000,70470000,1050000,4210000,3160000,1610000,530000
Cambodia,2016,20690000,34120000,1120000,4660000,4250000,2810000,540000
Cambodia,2017,22220000,33610000,1180000,4960000,4610000,3910000,550000
Cambodia,2018,22790000,32759998,1420000,5290000,4120000,5020000,560000
Cambodia,2019,22650000,32150002,1600000,6530000,5239999.98,6900000,570000
Cambodia,2020,22680000,32490002,1520000,6930000,4959999.99,7520000,570000
Cambodia,2021,22500000,32590000,1530000,7080000,4500000,8170000,580000
Cameroon,2008,12200000,42070000,1840000,2240000,8310000,57320000,3010000
Cameroon,2009,11760000,41680000,1900000,2580000,8170000,57530000,3100000
Cameroon,2010,12260000,42000000,1900000,2740000,7450000,57560000,3190000
Cameroon,2011,12030000,34200000,2010000,2910000,6640000,57820000,3280000
Cameroon,2012,12180000,34060000,2100000,3090000,6250000,58070000,3370000
Cameroon,2013,12580000,34080000,2200000,3280000,6990000,58350000,3460000
Cameroon,2014,12410000,33680000,2230000,3500000,7940000,58520000,3550000
Cameroon,2015,12640000,33720000,2360000,3250000,9400000,58660000,3650000
Cameroon,2016,13160000,34100000,2420000,3340000,9310000,59150000,3740000
Cameroon,2017,12790000,34000000,2510000,3270000,8700000,59480000,3840000
Cameroon,2018,13070000,33830000,2600000,3400000,9060000,59830000,3940000
Cameroon,2019,13000000,34440000,2670000,3510000,8920000,60049999.98,4040000
Cameroon,2020,13480000,34890000,2740000,3510000,8670000,60539999.98,4139999.8
Cameroon,2021,13300000,33970000,2820000,3650000,7589999.9,61150000,4250000
Canada,2008,59770000,319220000,74980000,172770000,285490000,85889996,18820000
Canada,2009,57590000,319530000,72920000,168620000,269000000,75200000,18560000
Canada,2010,58200000,320120000,68650000,174620000,281050000,79770000,17670000
Canada,2011,59810000,153990000,73920000,174390000,285490000,84690000,17640000
Canada,2012,62140000,154330000,68560000,174740000,286090000,86910000,17360000
Canada,2013,62220000,154340000,71520000,178600000,293340000,84590000,17400000
Canada,2014,61280000,153920000,75450000,177040000,300680000,83890000,17130000
Canada,2015,60460000,156080000,71830000,176490000,301180000,85670004,17460000
Canada,2016,59500000,54120000,69380000,175590000,299850000,91000000,17550000
Canada,2017,60310000,54480000,73720000,179800000,304950000,93140000,17910000
Canada,2018,61990000,56720000,78890000,186080000,309669999,93280000,18280000
Canada,2019,60600000,55010000,77370000,183220000,305829999,93830000,18640000
Canada,2020,63070000,53820000,73380000,153620000,279880000,86020004,19010000
Canada,2021,61330000,56770000,71430000,162040000,279100000,90540000,19360000
Central African Republic,2008,21170000,37090000,40000,100000,50000,30000,2910000
Central African Republic,2009,16660000,29050000,30000,100000,50000,30000,2920000
Central African Republic,2010,18840000,36090000,20000,120000,50000,30000,2930000
Central African Republic,2011,19990000,38570000,30000,129999.99,60000,40000,2940000
Central African Republic,2012,16900000,37720000,20000,140000,60000,40000,2950000
Central African Republic,2013,18140000,34400000,20000,90000,30000,40000,2960000
Central African Republic,2014,17650000,31290000,10000,110000,30000,40000,2970000
Central African Republic,2015,18080000,31600000,10000,160000,50000,40000,2990000
Central African Republic,2016,19830000,39200000,10000,190000,50000,30000,3000000
Central African Republic,2017,17850000,35370000,10000,200000,50000,40000,3010000
Central African Republic,2018,18240000,35820000,10000,210000,50000,50000,3030000
Central African Republic,2019,16559999,35450000,10000,210000,50000,50000,3040000
Central African Republic,2020,17840000,34400000,10000,220000,60000,50000,3050000
Central African Republic,2021,17950000,35070000,10000,230000,60000,60000,3070000
Chad,2008,41920000,18200000,730000,320000,6850000,240000,1650000
Chad,2009,43040000,17320000,770000,420000,6469999.98,290000,1700000
Chad,2010,45900000,18210000,770000,850000,5990000,320000,1760000
Chad,2011,48370000,27440000,780000,750000,5930000,390000,1820000
Chad,2012,51050000,28130000,830000,990000,6249999.97,610000,1880000
Chad,2013,53200000,27240000,850000,1020000,6290000,710000,1940000
Chad,2014,55680000,27110000,860000,1050000,6270000,780000,2000000
Chad,2015,60170000,27120000,870000,1020000,6280000,830000,2060000
Chad,2016,64410004,25450000,910000,930000,6200000,870000,2130000
Chad,2017,66760004,24820000,880000,810000,6320000,1020000,2190000
Chad,2018,71040000,24750000,1010000,780000,6419999.97,1080000,2260000
Chad,2019,73880000,24470000,970000,810000,6480000,1170000,2330000
Chad,2020,79020000,24530000,1050000,840000,6600000,1210000,2400000
Chad,2021,82280000,24340000,1060000,830000,6590000,1300000,2480000
Chile,2008,13210000,0,5650000,21050000,35290000,15500000,3670000
Chile,2009,12760000,0,5820000,21200000,32190000,14780000,3910000
Chile,2010,12970000,0,6240000,21950000,31930000,17450000,4139999.8
Chile,2011,12440000,0,7090000,22370000,37270000,17770000,4250000
Chile,2012,12490000,0,6700000,22960000,41450000,15430000,4350000
Chile,2013,10910000,0,6740000,25070000,42620000,16680000,4460000
Chile,2014,10640000,0,5510000,24150000,36520002,17750000,4560000
Chile,2015,10560000,0,5480000,25820000,39050000,18780000,4670000
Chile,2016,10280000,0,6570000,27010000,41140000,19050000,4770000
Chile,2017,9980000,0,7120000,28020000,41200000,18440000,4870000
Chile,2018,10130000,0,7270000,28980000,40000000,18420000,4980000
Chile,2019,10350000,0,7080000,29400000,45110000,18830000,5080000
Chile,2020,10520000,0,6740000,26050000,40650000,18580000,5180000
Chile,2021,10340000,0,7280000,28470000,38840000,19140000,5280000
China,2008,693490000,0,447340000,521060000,3793870020,3153800000,140390000
China,2009,694890000,0,452480000,531210020,4071020000,3424830000,146410000
China,2010,695630000,0,473610000,584090050,4498170100,3745770000,152440000
China,2011,689900000,0,494730020,638590000,5042200000,3997020000,158460000
China,2012,691410000,0,508450020,704190000,5176660000,4061500050,164480000
China,2013,691099970,0,524690020,760690000,5496390300,4143750000,169550000
China,2014,692059970,0,534140000,790700000,5448220000,4215400100,174620000
China,2015,699380030,0,561830000,850570000,5358800000,4087509800,179680000
China,2016,698710000,0,567830000,868040000,5431910000,3981030000,185650000
China,2017,684720000,0,574100000,901300000,5776490000,3838070000,191610000
China,2018,674219970,0,534900030,976440000,6133589700,3952860000,197570000
China,2019,627500000,0,499549980,970380000,6349950000,4019750000,203540000
China,2020,632550000,0,493580000,926880000,6443100000,4116320000,209500000
China,2021,634400000,0,482810000,996349950,7050040000,4117080000,216230000
Colombia,2008,63940000,80640000,5830000,22760000,36330000,21350000,13870000
Colombia,2009,63480000,80500000,5450000,20990000,44660000,19530000,14210000
Colombia,2010,65150000,80490000,5510000,21250000,47500000,19890000,14540000
Colombia,2011,61210000,56490000,5820000,25770000,48030000,24020000,14870000
Colombia,2012,57370000,56490000,5800000,27170000,53370000,21490000,15200000
Colombia,2013,56280000,56540000,5620000,25680000,57770000,26360000,15530000
Colombia,2014,56460000,56760000,5840000,26710000,59510000,26810000,15860000
Colombia,2015,54180000,56690000,5630000,28890000,60710000,25550000,16190001
Colombia,2016,55860000,83180000,5700000,30160000,60910000,26030000,16490000
Colombia,2017,59010000,83040000,5560000,30160000,51790000,27040000,16800000
Colombia,2018,62940000,83880000,6040000,30770000,53280000,27900000,17110000
Colombia,2019,65170000,83100000,5970000,32310002,52160000,27480000,17410000
Colombia,2020,67920000,83280000,6070000,27830000,45710000,26710000,17720000
Colombia,2021,69170000,83110000,6300000,35680000,43980000,29700000,18020000
Comoros,2008,230000,60000,20000,60000,40000,0,0
Comoros,2009,230000,60000,20000,80000,40000,0,0
Comoros,2010,240000,60000,20000,90000,60000,0,0
Comoros,2011,259999.98,60000,20000,80000,50000,0,0
Comoros,2012,270000,60000,20000,80000,50000,0,0
Comoros,2013,270000,60000,20000,120000,50000,0,0
Comoros,2014,280000,60000,20000,100000,50000,0,0
Comoros,2015,280000,60000,30000,110000,50000,10000,0
Comoros,2016,280000,60000,30000,129999.99,50000,10000,10000
Comoros,2017,280000,60000,40000,150000,80000,10000,10000
